algorithm,dataset,k,silhouette,davies_bouldin,calinski_harabasz,runtime_s,inertia,linkage,bic,aic,covariance_type
gmm,wikipedia,5,0.0605585627345743,4.484268255242512,1665.9664130464885,2.5697995000000446,,,-12657486.879648622,-12880618.665813874,full
gmm,wikipedia,5,0.0718475208132188,3.6753688775306848,1889.1677282677636,0.7034326669997881,,,-9610800.7746047,-9658920.443019772,tied
gmm,wikipedia,5,0.060070874915926,4.211190248364396,1607.7942505691608,0.4827276670000628,,,-9845595.907788277,-9854294.529878434,diag
gmm,wikipedia,10,0.0580889014302977,3.947886426620884,1181.0085614908485,6.057244667000077,,,-13131965.010157855,-13578237.246454583,full
gmm,wikipedia,10,0.0877345457132221,3.172916306621555,1415.6267170681244,2.900475166999968,,,-9879181.076739006,-9931676.048097834,tied
gmm,wikipedia,10,0.0698721014899319,3.3773114553040444,1315.3181470318566,0.3688901250000072,,,-10095358.950638164,-10112764.858784704,diag
gmm,wikipedia,15,0.0620041669115408,3.827788107965125,975.5608087336236,10.574477416000036,,,-13237349.3741947,-13906762.060622908,full
gmm,wikipedia,15,0.0915256107966744,2.6604806308308597,1222.8714672868975,3.6749218330000986,,,-10184717.036695572,-10241587.310998157,tied
gmm,wikipedia,15,0.080365549339489,2.7593344167576936,1182.874297633004,0.4172511249998933,,,-10318263.50780468,-10344376.7020076,diag
gmm,wikipedia,20,0.0615948163698314,3.737414147398436,839.6026583240928,25.969023459000027,,,-13277230.005945455,-14169783.14250514,full
gmm,wikipedia,20,0.1068132274375068,2.6616811510328584,1100.9646734124046,2.9285162500000297,,,-10394813.029995749,-10456058.607242083,tied
gmm,wikipedia,20,0.0956787676861422,2.6808634304552115,1068.2678044161332,0.4372724999998354,,,-10518874.876800112,-10553695.357059415,diag
hierarchical,wikipedia,5,0.03141719213167438,3.4676536484824383,258.71220821430086,1.175168957999631,,ward,,,
hierarchical,wikipedia,5,-0.0060463705500097675,6.331064430618144,109.20306653954616,1.0943747080000321,,complete,,,
hierarchical,wikipedia,5,0.04213433475274203,2.773236961028983,100.2212490859714,1.054406207998909,,average,,,
hierarchical,wikipedia,10,0.04135560244408689,3.600930113772062,191.32163029798122,1.0039371249986289,,ward,,,
hierarchical,wikipedia,10,0.010319398726057066,5.232722748239767,100.4531810304241,1.0817963340014103,,complete,,,
hierarchical,wikipedia,10,0.03335433812181224,2.796591135012973,84.33428385937816,1.0566217080013303,,average,,,
hierarchical,wikipedia,15,0.05321713310259572,3.585207770713958,159.231732401802,1.0219660830007342,,ward,,,
hierarchical,wikipedia,15,0.01699475313188187,4.510288741313809,87.57469289098367,1.04072562500005,,complete,,,
hierarchical,wikipedia,15,0.027289082439798915,2.675513415400805,73.4450082611539,1.0593198750011652,,average,,,
hierarchical,wikipedia,20,0.05282601755130596,3.309162538094334,141.5189134613181,1.0189102080003067,,ward,,,
hierarchical,wikipedia,20,0.02488215906044518,3.894162810303547,85.22696706820192,1.080416791000971,,complete,,,
hierarchical,wikipedia,20,0.0328073185595861,2.652870590299087,71.72172184800078,1.144355957998414,,average,,,
kmeans,wikipedia,5,0.0774630630166059,3.186938875652218,2065.1172328025964,0.4236336670001037,29077.118842610525,,,,
kmeans,wikipedia,10,0.0928143557520673,2.934566434422506,1553.0709574281188,0.6712898749999567,26147.49508656414,,,,
kmeans,wikipedia,15,0.1098534726013999,2.653411518816851,1301.5453832256455,1.348685082999964,24327.39567927673,,,,
kmeans,wikipedia,20,0.1192411233887862,2.5932827113300947,1148.2230316672274,1.320978083,22972.546777842595,,,,
kmeans,wikipedia,25,0.1145767717934582,2.668250851802538,1035.728965798093,1.8742095420000169,21938.45187577631,,,,
